,ngram,freq,length,less1gram,less1gram_freq,hit_rate,suggest
5254,obama bin laden obama,7,4,obama bin laden,8,0.875,obama
5186,hope all is well,13,4,hope all is,15,0.866666667,well
855,woke up,25,2,woke,29,0.862068966,up
2170,hunger games,12,2,hunger,14,0.857142857,games
2300,wanting to,12,2,wanting,14,0.857142857,to
4130,its gonna be,12,3,its gonna,14,0.857142857,be
4140,the shout out,12,3,the shout,14,0.857142857,out
5279,have a lot of,6,4,have a lot,7,0.857142857,of
5280,how have you been,6,4,how have you,7,0.857142857,been
5284,i just finished a,6,4,i just finished,7,0.857142857,a
5293,ill let you know,6,4,ill let you,7,0.857142857,know
5296,just finished a mi,6,4,just finished a,7,0.857142857,mi
5300,no such thing as,6,4,no such thing,7,0.857142857,as
5302,pal pal pal pal,6,4,pal pal pal,7,0.857142857,pal
5303,spain and spain and,6,4,spain and spain,7,0.857142857,and
5304,stuck in my head,6,4,stuck in my,7,0.857142857,head
5313,you are going to,6,4,you are going,7,0.857142857,to
1423,reminds me,17,2,reminds,20,0.85,me
382,lots of,45,2,lots,53,0.849056604,of
3936,happy new year,16,3,happy new,19,0.842105263,year
96,trying to,118,2,trying,141,0.836879433,to
3852,would like to,25,3,would like,30,0.833333333,to
1091,based on,20,2,based,24,0.833333333,on
3886,who wants to,20,3,who wants,24,0.833333333,to
5177,hope to see you,15,4,hope to see,18,0.833333333,you
2606,bin laden,10,2,bin,12,0.833333333,laden
4285,there will be,10,3,there will,12,0.833333333,be
4286,thought it was,10,3,thought it,12,0.833333333,was
4306,will try to,10,3,will try,12,0.833333333,to
5207,for the shout out,10,4,for the shout,12,0.833333333,out
5210,i would like to,10,4,i would like,12,0.833333333,to
5317,a good way to,5,4,a good way,6,0.833333333,to
5334,hope you all have,5,4,hope you all,6,0.833333333,have
5343,i just met you,5,4,i just met,6,0.833333333,you
5349,i thought it was,5,4,i thought it,6,0.833333333,was
5354,i will try to,5,4,i will try,6,0.833333333,to
5355,if you follow me,5,4,if you follow,6,0.833333333,me
5357,im so proud of,5,4,im so proud,6,0.833333333,of
5359,in a long time,5,4,in a long,6,0.833333333,time
5366,just got back from,5,4,just got back,6,0.833333333,from
5373,me follow me follow,5,4,me follow me,6,0.833333333,follow
5375,quote of the day,5,4,quote of the,6,0.833333333,day
5393,up the good work,5,4,up the good,6,0.833333333,work
97,forward to,117,2,forward,141,0.829787234,to
14,thank you,341,2,thank,412,0.827669903,you
3894,its going to,19,3,its going,23,0.826086957,to
206,mothers day,71,2,mothers,86,0.825581395,day
4025,spread the word,14,3,spread the,17,0.823529412,word
4030,to listen to,14,3,to listen,17,0.823529412,to
5182,in the middle of,14,4,in the middle,17,0.823529412,of
3865,the rest of,23,3,the rest,28,0.821428571,of
4360,learn how to,9,3,learn how,11,0.818181818,to
4061,im trying to,13,3,im trying,16,0.8125,to
221,listening to,68,2,listening,85,0.8,to
3952,omg omg omg,16,3,omg omg,20,0.8,omg
3953,the fact that,16,3,the fact,20,0.8,that
4434,being able to,8,3,being able,10,0.8,to
4468,i used to,8,3,i used,10,0.8,to
4477,im with you,8,3,im with,10,0.8,you
4486,is such a,8,3,is such,10,0.8,a
4549,what makes you,8,3,what makes,10,0.8,you
5234,i was going to,8,4,i was going,10,0.8,to
3969,hope all is,15,3,hope all,19,0.789473684,is
3982,the middle of,15,3,the middle,19,0.789473684,of
4210,want me to,11,3,want me,14,0.785714286,to
3835,let us know,28,3,let us,36,0.777777778,know
1836,none of,14,2,none,18,0.777777778,of
4033,where are you,14,3,where are,18,0.777777778,you
4631,how have you,7,3,how have,9,0.777777778,you
4710,no need to,7,3,no need,9,0.777777778,to
5255,so to my new,7,4,so to my,9,0.777777778,new
2590,amount of,10,2,amount,13,0.769230769,of
4228,cinco de mayo,10,3,cinco de,13,0.769230769,mayo
4294,to hang out,10,3,to hang,13,0.769230769,out
4308,youre going to,10,3,youre going,13,0.769230769,to
3796,would love to,43,3,would love,56,0.767857143,to
910,figure out,23,2,figure,30,0.766666667,out
220,kind of,68,2,kind,89,0.764044944,of
3975,id like to,15,3,id like,20,0.75,to
2229,plenty of,12,2,plenty,16,0.75,of
4144,were going to,12,3,were going,16,0.75,to
5194,omg omg omg omg,12,4,omg omg omg,16,0.75,omg
4373,she loves me,9,3,she loves,12,0.75,me
5225,keep your head up,9,4,keep your head,12,0.75,up
5229,you please follow me,9,4,you please follow,12,0.75,me
4806,a hard time,6,3,a hard,8,0.75,time
4935,i the only,6,3,i the,8,0.75,only
4999,look out for,6,3,look out,8,0.75,for
5043,some work done,6,3,some work,8,0.75,done
5072,this has been,6,3,this has,8,0.75,been
5131,when are you,6,3,when are,8,0.75,you
5285,i look forward to,6,4,i look forward,8,0.75,to
5301,on our way to,6,4,on our way,8,0.75,to
3991,and thanks for,14,3,and thanks,19,0.736842105,for
2467,merry christmas,11,2,merry,15,0.733333333,christmas
2545,tons of,11,2,tons,15,0.733333333,of
4183,id love to,11,3,id love,15,0.733333333,to
4197,so proud of,11,3,so proud,15,0.733333333,of
3822,how are you,32,3,how are,44,0.727272727,you
4492,just have to,8,3,just have,11,0.727272727,to
4493,just need to,8,3,just need,11,0.727272727,to
4520,the beginning of,8,3,the beginning,11,0.727272727,of
5237,nice to meet you,8,4,nice to meet,11,0.727272727,you
5240,we would love to,8,4,we would love,11,0.727272727,to
4093,was going to,13,3,was going,18,0.722222222,to
520,shout out,36,2,shout,50,0.72,out
3916,you going to,18,3,you going,25,0.72,to
3979,not going to,15,3,not going,21,0.714285714,to
2618,depends on,10,2,depends,14,0.714285714,on
4260,is wrong with,10,3,is wrong,14,0.714285714,with
4261,it should be,10,3,it should,14,0.714285714,be
4282,the difference between,10,3,the difference,14,0.714285714,between
5323,everyone who came out,5,4,everyone who came,7,0.714285714,out
5324,figure out how to,5,4,figure out how,7,0.714285714,to
5330,glad you enjoyed it,5,4,glad you enjoyed,7,0.714285714,it
5345,i need more followers,5,4,i need more,7,0.714285714,followers
5347,i remember when i,5,4,i remember when,7,0.714285714,i
5361,is it just me,5,4,is it just,7,0.714285714,me
5372,love you more than,5,4,love you more,7,0.714285714,than
5380,take the time to,5,4,take the time,7,0.714285714,to
3784,is going to,65,3,is going,92,0.706521739,to
4100,a bunch of,12,3,a bunch,17,0.705882353,of
3802,what do you,40,3,what do,57,0.701754386,you
4585,bin laden obama,7,3,bin laden,10,0.7,obama
4704,me want to,7,3,me want,10,0.7,to
5260,thanks to everyone who,7,4,thanks to everyone,10,0.7,who
1486,continue to,16,2,continue,23,0.695652174,to
3933,all is well,16,3,all is,23,0.695652174,well
769,wake up,27,2,wake,39,0.692307692,up
2937,catching up,9,2,catching,13,0.692307692,up
3226,waking up,9,2,waking,13,0.692307692,up
4370,really want to,9,3,really want,13,0.692307692,to
4379,sorry to hear,9,3,sorry to,13,0.692307692,hear
5220,hope you have a,9,4,hope you have,13,0.692307692,a
5223,i just want to,9,4,i just want,13,0.692307692,to
5226,love you so much,9,4,love you so,13,0.692307692,much
4212,we would love,11,3,we would,16,0.6875,love
3792,im going to,46,3,im going,67,0.686567164,to
1953,hip hop,13,2,hip,19,0.684210526,hop
2007,pair of,13,2,pair,19,0.684210526,of
3799,you so much,42,3,you so,63,0.666666667,much
3815,dont want to,34,3,dont want,51,0.666666667,to
3881,go back to,20,3,go back,30,0.666666667,to
5190,are you going to,12,4,are you going,18,0.666666667,to
2783,sort of,10,2,sort,15,0.666666667,of
3483,las vegas,8,2,las,12,0.666666667,vegas
3589,regardless of,8,2,regardless,12,0.666666667,of
4428,are looking for,8,3,are looking,12,0.666666667,for
4442,come join us,8,3,come join,12,0.666666667,us
4455,here we go,8,3,here we,12,0.666666667,go
4552,why are you,8,3,why are,12,0.666666667,you
5236,i would love to,8,4,i would love,12,0.666666667,to
4812,a ton of,6,3,a ton,9,0.666666667,of
4838,but thanks for,6,3,but thanks,9,0.666666667,for
4848,cant help but,6,3,cant help,9,0.666666667,but
4855,didnt have to,6,3,didnt have,9,0.666666667,to
4865,feels good to,6,3,feels good,9,0.666666667,to
4883,got back from,6,3,got back,9,0.666666667,from
4915,i give up,6,3,i give,9,0.666666667,up
4958,im starting to,6,3,im starting,9,0.666666667,to
4981,its hard to,6,3,its hard,9,0.666666667,to
4982,its nice to,6,3,its nice,9,0.666666667,to
5038,sent me a,6,3,sent me,9,0.666666667,a
5045,sound like a,6,3,sound like,9,0.666666667,a
5269,be one of the,6,4,be one of,9,0.666666667,the
5288,i really want to,6,4,i really want,9,0.666666667,to
5290,i will follow you,6,4,i will follow,9,0.666666667,you
5298,love to have you,6,4,love to have,9,0.666666667,you
5308,to go back to,6,4,to go back,9,0.666666667,to
5309,to start the day,6,4,to start the,9,0.666666667,day
3897,please please please,19,3,please please,29,0.655172414,please
1985,los angeles,13,2,los,20,0.65,angeles
4407,where do you,9,3,where do,14,0.642857143,you
10,going to,392,2,going,610,0.642622951,to
3872,are going to,21,3,are going,33,0.636363636,to
1747,bunch of,14,2,bunch,22,0.636363636,of
4014,just want to,14,3,just want,22,0.636363636,to
4032,whats your favorite,14,3,whats your,22,0.636363636,favorite
4567,a part of,7,3,a part,11,0.636363636,of
4568,a shout out,7,3,a shout,11,0.636363636,out
4665,ill let you,7,3,ill let,11,0.636363636,you
4682,it comes to,7,3,it comes,11,0.636363636,to
4716,or is it,7,3,or is,11,0.636363636,it
4730,stuck in my,7,3,stuck in,11,0.636363636,my
4747,the point of,7,3,the point,11,0.636363636,of
4770,was one of,7,3,was one,11,0.636363636,of
514,instead of,36,2,instead,57,0.631578947,of
3856,getting ready to,24,3,getting ready,38,0.631578947,to
4151,you please follow,12,3,you please,19,0.631578947,follow
5195,please please please please,12,4,please please please,19,0.631578947,please
4221,a fan of,10,3,a fan,16,0.625,of
5319,all i want is,5,4,all i want,8,0.625,is
5320,been a long time,5,4,been a long,8,0.625,time
5339,i feel bad for,5,4,i feel bad,8,0.625,for
5365,its a beautiful day,5,4,its a beautiful,8,0.625,day
5384,the last day of,5,4,the last day,8,0.625,of
5395,want to have a,5,4,want to have,8,0.625,a
4066,keep up the,13,3,keep up,21,0.619047619,the
411,listen to,42,2,listen,68,0.617647059,to
3616,spain and,8,2,spain,13,0.615384615,and
4467,i try to,8,3,i try,13,0.615384615,to
3898,that would be,19,3,that would,31,0.612903226,be
3819,what are you,33,3,what are,54,0.611111111,you
4015,last day of,14,3,last day,23,0.608695652,of
208,such a,71,2,such,118,0.601694915,a
420,wants to,42,2,wants,70,0.6,to
5164,is going to be,39,4,is going to,65,0.6,be
3966,get back to,15,3,get back,25,0.6,to
4311,a way to,9,3,a way,15,0.6,to
4391,to hit the,9,3,to hit,15,0.6,the
4871,for no reason,6,3,for no,10,0.6,reason
4989,just in time,6,3,just in,10,0.6,time
5067,the parking lot,6,3,the parking,10,0.6,lot
5081,to connect with,6,3,to connect,10,0.6,with
5099,to wake up,6,3,to wake,10,0.6,up
5139,why dont you,6,3,why dont,10,0.6,you
5170,i dont want to,19,4,i dont want,32,0.59375,to
1488,decided to,16,2,decided,27,0.592592593,to
3934,as much as,16,3,as much,27,0.592592593,as
4037,a chance to,13,3,a chance,22,0.590909091,to
4069,let you know,13,3,let you,22,0.590909091,know
4257,in order to,10,3,in order,17,0.588235294,to
4273,reminds me of,10,3,reminds me,17,0.588235294,of
4301,want you to,10,3,want you,17,0.588235294,to
5211,on my way to,10,4,on my way,17,0.588235294,to
566,wanted to,34,2,wanted,58,0.586206897,to
1431,spread the,17,2,spread,29,0.586206897,the
4721,remember when i,7,3,remember when,12,0.583333333,i
4740,the key to,7,3,the key,12,0.583333333,to
4791,you an email,7,3,you an,12,0.583333333,email
3910,hope to see,18,3,hope to,31,0.580645161,see
4201,thought i was,11,3,thought i,19,0.578947368,was
1642,itll be,15,2,itll,26,0.576923077,be
5179,the end of the,15,4,the end of,26,0.576923077,the
4125,im pretty sure,12,3,im pretty,21,0.571428571,sure
3349,bottles of,8,2,bottles,14,0.571428571,of
3623,talked to,8,2,talked,14,0.571428571,to
4522,the name of,8,3,the name,14,0.571428571,of
5230,and thanks for the,8,4,and thanks for,14,0.571428571,the
3774,thanks for the,239,3,thanks for,421,0.567695962,the
4088,to everyone who,13,3,to everyone,23,0.565217391,who
4404,what it is,9,3,what it,16,0.5625,is
4410,you follow me,9,3,you follow,16,0.5625,me
1886,version of,14,2,version,25,0.56,of
4013,is one of,14,3,is one,25,0.56,of
1205,headed to,19,2,headed,34,0.558823529,to
1106,heading to,20,2,heading,36,0.555555556,to
5322,do you want to,5,4,do you want,9,0.555555556,to
5325,follow me i follow,5,4,follow me i,9,0.555555556,follow
5348,i thought i was,5,4,i thought i,9,0.555555556,was
5377,she loves me she,5,4,she loves me,9,0.555555556,she
304,part of,54,2,part,98,0.551020408,of
4215,who you are,11,3,who you,20,0.55,are
4132,keep your head,12,3,keep your,22,0.545454545,head
4834,be better than,6,3,be better,11,0.545454545,than
4893,hate it when,6,3,hate it,11,0.545454545,when
4955,im looking for,6,3,im looking,11,0.545454545,for
5050,thanks again for,6,3,thanks again,11,0.545454545,for
5115,walk to the,6,3,walk to,11,0.545454545,the
5130,when all the,6,3,when all,11,0.545454545,the
395,social media,44,2,social,81,0.543209877,media
3893,it would be,19,3,it would,35,0.542857143,be
3842,the end of,26,3,the end,48,0.541666667,of
3882,how do you,20,3,how do,37,0.540540541,you
3783,a lot of,69,3,a lot,128,0.5390625,of
1774,hanging out,14,2,hanging,26,0.538461538,out
4012,in love with,14,3,in love,26,0.538461538,with
4655,i tried to,7,3,i tried,13,0.538461538,to
4690,just found out,7,3,just found,13,0.538461538,out
5262,this is why i,7,4,this is why,13,0.538461538,i
3621,suppose to,8,2,suppose,15,0.533333333,to
4454,here i come,8,3,here i,15,0.533333333,come
4524,the red sox,8,3,the red,15,0.533333333,sox
4564,youre the best,8,3,youre the,15,0.533333333,best
1315,seem to,18,2,seem,34,0.529411765,to
2946,difficult to,9,2,difficult,17,0.529411765,to
4333,hit me up,9,3,hit me,17,0.529411765,up
2832,tune in,10,2,tune,19,0.526315789,in
28,want to,244,2,want,468,0.521367521,to
4048,every time i,13,3,every time,25,0.52,i
4011,ill have to,14,3,ill have,27,0.518518519,to
1367,front of,17,2,front,33,0.515151515,of
3805,let me know,39,3,let me,76,0.513157895,know
845,proud of,25,2,proud,49,0.510204082,of
761,rest of,27,2,rest,53,0.509433962,of
3826,you need to,31,3,you need,61,0.508196721,to
970,ice cream,22,2,ice,44,0.5,cream
1104,hang out,20,2,hang,40,0.5,out
3908,end of the,18,3,end of,36,0.5,the
3978,know how to,15,3,know how,30,0.5,to
1766,focus on,14,2,focus,28,0.5,on
4157,back on the,11,3,back on,22,0.5,the
4187,is gonna be,11,3,is gonna,22,0.5,be
4194,not so much,11,3,not so,22,0.5,much
4213,what to do,11,3,what to,22,0.5,do
4239,get out of,10,3,get out,20,0.5,of
3149,similar to,9,2,similar,18,0.5,to
3222,united states,9,2,united,18,0.5,states
4485,is looking for,8,3,is looking,16,0.5,for
4591,cup of coffee,7,3,cup of,14,0.5,coffee
4683,it looks like,7,3,it looks,14,0.5,like
4684,it makes me,7,3,it makes,14,0.5,me
4783,who i am,7,3,who i,14,0.5,am
5250,is one of my,7,4,is one of,14,0.5,my
5252,love to see you,7,4,love to see,14,0.5,you
4819,and check out,6,3,and check,12,0.5,out
4852,come up with,6,3,come up,12,0.5,with
5001,love love love,6,3,love love,12,0.5,love
5017,no no no,6,3,no no,12,0.5,no
5023,on how to,6,3,on how,12,0.5,to
5027,our way to,6,3,our way,12,0.5,to
5074,thought you were,6,3,thought you,12,0.5,were
5138,who came out,6,3,who came,12,0.5,out
5140,will follow you,6,3,will follow,12,0.5,you
5271,day to all the,6,4,day to all,12,0.5,the
5388,to all our new,5,4,to all our,10,0.5,new
189,lot of,75,2,lot,151,0.496688742,of
270,looks like,60,2,looks,121,0.495867769,like
3781,i want to,74,3,i want,150,0.493333333,to
4080,rest of the,13,3,rest of,27,0.481481481,the
5192,if you want to,12,4,if you want,25,0.48,to
3864,please follow me,23,3,please follow,48,0.479166667,me
4193,night at the,11,3,night at,23,0.47826087,the
5203,the rest of the,11,4,the rest of,23,0.47826087,the
3874,give me a,21,3,give me,44,0.477272727,a
3803,i wish i,39,3,i wish,82,0.475609756,i
748,interested in,27,2,interested,57,0.473684211,in
4378,sorry for the,9,3,sorry for,19,0.473684211,the
4417,your head up,9,3,your head,19,0.473684211,up
1409,middle of,17,2,middle,36,0.472222222,of
1427,shut up,17,2,shut,36,0.472222222,up
3851,we need to,25,3,we need,53,0.471698113,to
3338,battle of,8,2,battle,17,0.470588235,of
3370,direct message,8,2,direct,17,0.470588235,message
4551,where is the,8,3,where is,17,0.470588235,the
3827,you want to,30,3,you want,64,0.46875,to
4028,to check out,14,3,to check,30,0.466666667,out
4671,in san diego,7,3,in san,15,0.466666667,diego
4697,lets do it,7,3,lets do,15,0.466666667,it
4748,the state of,7,3,the state,15,0.466666667,of
5245,great to see you,7,4,great to see,15,0.466666667,you
373,needs to,46,2,needs,99,0.464646465,to
4073,no matter how,13,3,no matter,28,0.464285714,how
5019,nothing like a,6,3,nothing like,13,0.461538462,a
5036,seems to be,6,3,seems to,13,0.461538462,be
5125,were in the,6,3,were in,13,0.461538462,the
5148,you enjoyed it,6,3,you enjoyed,13,0.461538462,it
5159,you tell me,6,3,you tell,13,0.461538462,me
5267,awkward moment when you,6,4,awkward moment when,13,0.461538462,you
5297,keep up the good,6,4,keep up the,13,0.461538462,good
5312,why is it so,6,4,why is it,13,0.461538462,so
8,thanks for,421,2,thanks,918,0.458605664,for
3870,to meet you,22,3,to meet,48,0.458333333,you
4181,i went to,11,3,i went,24,0.458333333,to
4191,my way to,11,3,my way,24,0.458333333,to
5198,did you know that,11,4,did you know,24,0.458333333,that
5202,so much for the,11,4,so much for,24,0.458333333,the
3793,i feel like,45,3,i feel,99,0.454545455,like
4255,im ready for,10,3,im ready,22,0.454545455,for
5381,thank you to all,5,4,thank you to,11,0.454545455,all
5382,thanks for all the,5,4,thanks for all,11,0.454545455,the
4019,my best friend,14,3,my best,31,0.451612903,friend
5180,had a great time,14,4,had a great,31,0.451612903,time
5171,what do you think,18,4,what do you,40,0.45,think
3232,ways to,9,2,ways,20,0.45,to
4318,be one of,9,3,be one,20,0.45,of
4332,hang out with,9,3,hang out,20,0.45,with
4045,dont even know,13,3,dont even,29,0.448275862,know
523,waiting for,36,2,waiting,81,0.444444444,for
3607,shoutout to,8,2,shoutout,18,0.444444444,to
4491,ive ever seen,8,3,ive ever,18,0.444444444,seen
3780,cant wait to,82,3,cant wait,185,0.443243243,to
33,need to,231,2,need,528,0.4375,to
1812,killed it,14,2,killed,32,0.4375,it
4680,is why i,7,3,is why,16,0.4375,i
4754,to catch up,7,3,to catch,16,0.4375,up
891,thx for,24,2,thx,55,0.436363636,for
556,join us,34,2,join,78,0.435897436,us
4248,i told you,10,3,i told,23,0.434782609,you
4072,much for the,13,3,much for,30,0.433333333,the
5174,happy mothers day to,16,4,happy mothers day,37,0.432432432,to
5175,i cant wait to,16,4,i cant wait,37,0.432432432,to
1614,due to,15,2,due,35,0.428571429,to
2290,type of,12,2,type,28,0.428571429,of
4148,will you be,12,3,will you,28,0.428571429,be
2921,beginning of,9,2,beginning,21,0.428571429,of
2939,checking out,9,2,checking,21,0.428571429,out
4341,i live in,9,3,i live,21,0.428571429,in
4861,dont talk to,6,3,dont talk,14,0.428571429,to
4862,dont tell me,6,3,dont tell,14,0.428571429,me
4968,is better than,6,3,is better,14,0.428571429,than
5105,today for the,6,3,today for,14,0.428571429,the
5282,i dont even know,6,4,i dont even,14,0.428571429,know
5314,you for your support,6,4,you for your,14,0.428571429,support
1756,cup of,14,2,cup,33,0.424242424,of
4004,i go to,14,3,i go,33,0.424242424,to
4216,with all the,11,3,with all,26,0.423076923,the
3384,fell asleep,8,2,fell,19,0.421052632,asleep
4446,give you a,8,3,give you,19,0.421052632,a
4476,im tired of,8,3,im tired,19,0.421052632,of
2019,shouldnt be,13,2,shouldnt,31,0.419354839,be
1131,san diego,20,2,san,48,0.416666667,diego
3985,we had a,15,3,we had,36,0.416666667,a
4262,its time for,10,3,its time,24,0.416666667,for
4263,its time to,10,3,its time,24,0.416666667,to
4287,thx for the,10,3,thx for,24,0.416666667,the
5374,me know if you,5,4,me know if,12,0.416666667,you
5394,us know if we,5,4,us know if,12,0.416666667,we
140,check out,89,2,check,214,0.41588785,out
2237,sold out,12,2,sold,29,0.413793103,out
4127,is there a,12,3,is there,29,0.413793103,a
3892,it will be,19,3,it will,46,0.413043478,be
5253,mothers day to all,7,4,mothers day to,17,0.411764706,all
3125,parking lot,9,2,parking,22,0.409090909,lot
4377,so we can,9,3,so we,22,0.409090909,can
5222,i have no idea,9,4,i have no,22,0.409090909,idea
418,sounds like,42,2,sounds,103,0.40776699,like
4081,rt if you,13,3,rt if,32,0.40625,you
3785,i need to,58,3,i need,144,0.402777778,to
637,used to,31,2,used,77,0.402597403,to
956,close to,22,2,close,55,0.4,to
1742,awkward moment,14,2,awkward,35,0.4,moment
3995,dont forget to,14,3,dont forget,35,0.4,to
4268,no idea what,10,3,no idea,25,0.4,what
4517,thank god for,8,3,thank god,20,0.4,for
4858,doesnt have a,6,3,doesnt have,15,0.4,a
4889,happy holidays to,6,3,happy holidays,15,0.4,to
4947,id rather be,6,3,id rather,15,0.4,be
4971,is making me,6,3,is making,15,0.4,me
4988,just had a,6,3,just had,15,0.4,a
5056,the answer to,6,3,the answer,15,0.4,to
5071,things to do,6,3,things to,15,0.4,do
387,went to,45,2,went,113,0.398230088,to
1934,difference between,13,2,difference,33,0.393939394,between
4152,a beautiful day,11,3,a beautiful,28,0.392857143,day
4182,i wonder if,11,3,i wonder,28,0.392857143,if
5201,let us know if,11,4,let us know,28,0.392857143,if
3913,to talk to,18,3,to talk,46,0.391304348,to
3076,member of,9,2,member,23,0.391304348,of
3127,paying attention,9,2,paying,23,0.391304348,attention
4381,thats why i,9,3,thats why,23,0.391304348,i
819,chance to,25,2,chance,64,0.390625,to
4031,up in the,14,3,up in,36,0.388888889,the
4583,be with you,7,3,be with,18,0.388888889,you
4614,get ready for,7,3,get ready,18,0.388888889,for
4708,new years eve,7,3,new years,18,0.388888889,eve
